Tweet_count,Name,Text,Retweets,Likes,Date
1,Maja 🦋,"PiSiory ❗ Patałachy ❗ Szmaciarze ❗ Mam dla was, dwie wiadomości ⁉️  Złą ❗ bo Rafał Trzaskowski wygrywa w I turze 💪🤣  I drugą Złą ❗ Kończymy z Pisem 💪🤣  Prezydentem RP 2025 Rafał Trzaskowski ✌️🇵🇱 🥰 ♥️  Niedziela, 18 maja 2025 ! Głosujemy !!!  #Trzaskowski2025 https://t.co/nakyhPCeeU",45,132
2,Marek Markowski,"Jak zablokować #RelokacjaTuska ? To proste wygrać wybory prezydenckie 2025 a następnie przyśpieszone wybory parlamentarne. Tusk, Bodnar, Giertych, Hołownia do więzienia i ogłaszamy koniec komuny w Polsce. https://t.co/02XQAcsEdG",878,3159
3,Krysia,Taką mamy rzeczywistość- Polska 2025 z prezydentem Rafałem Trzaskowskim ✌️🇵🇱. 18maja 2025 głosujemy i wybieramy prezydenta Polski🇵🇱 https://t.co/JXhu6xldQe,12,22
4,Rafał Gładysz ♠️♥️♣️♦️,"Moje wymarzone wybory prezydenckie 2025? Do drugiej rundy wchodzą @SlawomirMentzen i @K_Stanowski i o fotel prezydenta grają jeden na jednego w pokera w transmitowanym przez wszystkie telewizje pojedynku 😎  A potem ten, który wygra, od razu po zaprzysiężeniu legalizuje pokera w https://t.co/JNUYXfSYDs",15,843
5,🇵🇱Polka🇵🇱,18 maja 2025 r wszyscy na wybory 🗳️ #Prezydent2025 @NawrockiKn 🇵🇱♥️ https://t.co/tVKtyJkbc7,98,237
6,Iwona🌠🇪🇺🇵🇱🇮🇱🇺🇦,Wybory prezydenckie anno domini 2025... https://t.co/jAqdoxxUyE,4,27
7,Konkret24,Na kolejnych spotkaniach z wyborcami i w kolejnych wypowiedziach publicznych kandydat PiS na prezydenta Karol Nawrocki powtarza te same twierdzenia - nie zawsze zgodne z prawdą ❌  🔗 https://t.co/UDhsZHheoq 📷: PAP/Jarek Praszkiewicz https://t.co/h3Jx4SgbPt,72,130
8,OsaMorska007🇵🇱,"Oni wiedzą,że przegrają wybory prezydenckie 2025. https://t.co/jzpfQFu8pj",1,14
9,Analityczny Umysł,Wybory prezydenckie:  2010: 10 kandydatów  2015: 11 kandydatów  2020: 11 kandydatów  2025: aktualnie 17 kandydatów złożyło wymagane 100 tys. podpisów,19,2597
10,🇵🇱Polka🇵🇱,"Wystarczyło wziąć długopis do ręki... teraz, i wy wyborcy Tuska będziecie płacić za swoją decyzję. #UśmiechniętePolska @donaldtusk ‼️ Możesz jeszcze to zmienić i zagłosować na Pana dr Karola Nawrockiego @NawrockiKn podczas wyborów prezydenckich w dniu 18 maja 2025 r. ‼️ https://t.co/ZBWMdYD7fk",629,1516
11,Jan Burdygiel,Wybory prezydenckie 2025. Najnowszy sondaż! https://t.co/nWuLsAjr46,1,32
12,Miriam ✝️🇵🇱,"Z jednym się z wami zgodzę, że „Polacy to wszystko widzą” i was podsumują w wyborach prezydenckich 18 maja 2025 roku 💪🇵🇱  Rozwój - zwinęliście projekty, np. #CPK, Atom,  Bezpieczeństwo - wpuściliście imigrantów z Niemiec do Polski. Według danych, będzie to ok. 4500 tysiąca ludzi https://t.co/6VuIHnIERP",3,8
13,Joanna,"‼️Wybory prezydenckie 2025.  Kim jest Szymon Hołownia❓️  Sylwetka i program kandydata na prezydenta RP.  Wybory prezydenckie 2025 zbliżają się wielkimi krokami, a nazwisko Szymona Hołowni coraz częściej pojawia się w medialnych analizach i sondażach. Jego nietypowa droga do https://t.co/A0Cib40QCd",18,37
14,Joanna,"‼️Wybory prezydenckie 2025.  Kim jest Szymon Hołownia❓️  Sylwetka i program kandydata na prezydenta RP.  Wybory prezydenckie 2025 zbliżają się wielkimi krokami, a nazwisko Szymona Hołowni coraz częściej pojawia się w medialnych analizach i sondażach. Jego nietypowa droga do https://t.co/j9bWWXA5xc",17,47
15,piotr von pritzwald,"Zatem wszystko jasne ! Wybory prezydenckie, a dokładnie I ich tura, odbędzie się 18 maja 2025 roku. Ewentualna II tura 1 czerwca 2025 roku.  Zatem teraz wszystkie ręce na pokład💪💪💪Celem wygrana Rafała Trzaskowskiego już w I turze. Jestem przekonany, że to jak najbardziej https://t.co/aykB9XPOMZ",203,707
16,🇵🇱 Ania z Polski 🇵🇱,"🟥 18 maja 2025 - I tura wyborów prezydenckich.  105 lat od narodzin Karola Wojtyły, Polska znów stanie przed historycznym momentem! Karol Nawrocki (@NawrockiKn ), drugi Wielki Karol – ma również szansę odmienić losy kraju.   Razem ZWYCIĘZYMY! #Nawrocki2025 ❤️🇵🇱 https://t.co/BVgMfkSaBJ",216,506
17,Marcin Rola 🇵🇱,To koniec KONFEDERACJI jaką znamy?! Braun vs. Mentzen na wybory prezydenckie 2025? O CO TUTAJ NAPRAWDĘ CHODZI I CO ONI NAPRAWDĘ PLANUJĄ?!🤔🇵🇱🚨 ZGADZASZ SIĘ? UDOSTĘPNIJ! https://t.co/Nnti4hmiXj,9,40
18,🇵🇱Polka🇵🇱,"🔴 Ważne informacje 🔴 Pamiętaj o tym, gdy będziesz głosować w dniu 18 maja 2025 ‼️⬇️ ‼️ 👇 https://t.co/oaxOGNRoRS",220,684
19,Krzysztof 🇵🇱,Urodziłem się w 2005 roku. Wtedy wybory prezydenckie nieoczekiwanie wygrał Lech Kaczyński a PiS wybory parlamentarne.   W 2015 roku wybory prezydenckie wygrał nieoczekiwanie Andrzej Duda a PiS zdobył samodzielną większość w Sejmie i Senacie   W 2025 liczę na zwycięstwo Karola https://t.co/pPqOkUuEAP,597,2225
20,Piotrdotcom 🇵🇱🇪🇸🇫🇷🇪🇺 #SilniRazem,Trzaskowski wygrywa z każdym. Najnowszy sondaż⬇️ https://t.co/I4lmzou7Q3 https://t.co/5abBVuepBb,31,137
21,Aneta ObserwatorXY,"Dziesięć nieprawd Karola Nawrockiego, a wśród nich np.: "" jako kandydat na urząd prezydenta złożyłem trzy projekty ustaw"". https://t.co/H8bzczN356",69,159
22,OficjalneZero,"Marszałek Szymon Hołownia ogłosił datę wyborów prezydenckich 2025. Jak przekonuje Robert Mazurek w swoim najnowszym materiale, stawka ich będzie bardzo wysoka.  Co jest najważniejsze dla Rafała Trzaskowskiego, a co dla Karola Nawrockiego? O co walczą Szymon Hołownia, Sławomir https://t.co/AGJoAnwrBn",27,954
23,𝕸𝖔𝖗𝖌𝖊𝖓𝖘𝖙𝖊𝖗𝖓,"Nowiutki CBOS zwiastuje ostatnie tchnienie Karola, taniec na trumnie nie pomógł Kaczyńskiemu. Badanie „Wybory prezydenckie” metodą mieszaną 17–20 marca 2025 roku na próbie 1003 dorosłych Polaków. https://t.co/cMPLcGEjZb",31,161
24,Jorge,top 3 powodów kłótni fanbazy Arsenalu w 2025: 1. AC Shadows 2. Wybory prezydenckie 2025 3. Mikel Arteta,0,26
25,Jowita #Nawrocki2025,18 maja 2025 to będzie bardzo dobry dzień dla Polski.  105. Rocznica urodzin Jana Pawła II  81. Rocznica Bitwy o Monte Cassino  Wybory prezydenckie wygrane przez @NawrockiKn w pierwszej turze😊. PIERWSZA TURA BEZ BĄŻURA ‼️ #NawrockiPrezydent2025 🇵🇱🥊 https://t.co/YGYIPd3Wb3,135,403
26,ZMOK.PL,"Jak zakończą się wybory prezydenckie 2025?  1. Przegrana Trzaskowskiego, unieważnienie i wariant rumuński. 2. Wygrana Trzaskowskiego i dyktatura KO. 3. Przegrana Trzaskowskiego i upadek rządu Tuska. 4. Przegrana Trzaskowskiego, ale dalsze rządy KO bez prezydenta.",17,30
27,Opinia24.pl,"48% badanych zdecydowanie deklaruje, że już wie, na kogo zagłosuje w #Wybory2025. Aż 40% może zmienić decyzję między I a II turą. 📍Badanie Opinia24 dla @MoreInCommon_PL 📍CATI/CAWI/CAPI, N=1501, marzec 2025 Raport: https://t.co/p2xjtHMqzK #WyboryPrezydenckie #Opinia24 #sondaż https://t.co/T68ilNpj1b",0,4
28,Desmond 🍑,Program Hołowni na wybory prezydenckie 2025:  -Mentzen zły,0,2
29,Szymon Hołownia,"Podjąłem decyzję, że wybory prezydenckie odbędą się 18 maja. Jeśli niezbędna będzie II tura, to ponowne głosowanie odbędzie się 1 czerwca. https://t.co/yCNl7uD90Q",90,713
30,Salicynka,Wybory prezydenckie 2025 będą dla Polski referendum za odrzuceniem rządu Donalda Tusska!!!! @Nawrocki25 💪🇵🇱❤️,9,19
31,🇵🇱 MARCIN EDO,"Można robić screeny... Przed Państwem wyniki wyborów prezydenckich II tury z dnia 1 czerwca 2025 roku. Niekwestionowanym zwycięzcą zostanie @NawrockiKn✌️ Co wydarzy się później, to już inna kwestia. Czerwiec będzie wyjątkowo gorący. https://t.co/KnPkaWqhC4",99,311
32,Bartosz Bocheńczak,"Znamy kalendarz wyborczy! 18 maja I tura wyborów prezydenckich, 1 czerwca II tura, a 6 sierpnia zaprzysiężenie Sławomira Mentzena.",26,435
33,Piotr,"@thepolandnews_ Co za pojebane przepisy.. przecież są dowody na to, że zachowywał się w naszym kraju w sposób niedopuszczalny. To czego chce się jeszcze doszukiwać sąd? Teraz ten pajac będzie utrzymywany z naszych podatków przez jakiś czas. Wybory prezydenckie 2025 między innymi o tym są.",3,207
34,Cezary Graf,🇷🇴Już 4 maja 2025 roku odbędą się wybory prezydenckie w Rumunii  Jest mały niuans  Nie można głosować na kandydata z największym demokratycznym poparciem,29,197
35,Marcin Rola 🇵🇱,UWAGA! Sonda wyborcza - WYBORY PREZYDENCKIE 2025?! Na kogo oddasz swój głos 18 maja 2025?!🤔🇵🇱🔥🚨,322,499
36,Rafał Bonikowski #Nawrocki2025 🇵🇱,Wybory prezydenckie 2025 🇵🇱💪#NormalnaPolska 👇 https://t.co/RPxAXmFrF2,5,18
37,PrawyWiarus 🇵🇱 🐺,Kto wygra wybory prezydenckie 2025?,48,50
38,Alicja.,Zemsta wersja wybory prezydenckie 2025,0,7
39,Historia Fotografią Pisana,10.03.2025 r. - ... wybory prezydenckie ido 😂  Elektorat się uaktywnia 😂 https://t.co/ZK1OhUhwp2,2,18
40,Konkret24,"Kandydat Konfederacji na prezydenta porusza na wyborczych wiecach wiele różnych tematów, wygłaszając tezy, które nieraz są manipulacjami ❌  Tekst @zuzannnakar ⤵️ https://t.co/Ne28CkxIvy",35,95
41,Ellan Enish,Wybory Prezydenckie 2025 być jak: https://t.co/XAHx5ot0uh,0,0
