Tweet_count,Usename,Name,Text,Retweets,Likes
1,PopieramyKarolaNawrockiego🇵🇱,"🎦🗳️""Widzimy jak ten system coraz bardziej się zamyka. Jeśli uzyskają jeszcze urząd Prezydenta RP to  będzie czarna kropka nad i. Wybory to plebiscyt - za czy przeciw temu, co się dzieje. Będę trzymał kciuki za dr. Karola Nawrockiego"" - w Poznaniu rozmawialiśmy z prof. @StZerko z https://t.co/pzv4Q85a26",Thu Apr 17 22:10:49 +0000 2025,265,886
2,OGB Pro,"Jak wygląda rywalizacja na linii @trzaskowski_, @NawrockiKn i @SlawomirMentzen w pierwszej turze wyborów prezydenckich na miesiąc przed głosowaniem? Jak ma się do tego reszta prezydenckiej stawki? Raport z sondażu @OGB_PL już na https://t.co/BuT5YmPoLg ⏭️ https://t.co/B4b4g0HDDF https://t.co/mKALlNH4Fv",Wed Apr 16 06:59:19 +0000 2025,126,708
3,Izabella❄️,"Dlaczego te wybory prezydenckie są takie ważne. Dlaczego ważne, żeby kandydat demokratyczny wygrał. Po to szliśmy do wyborów 2023, żeby ustawy przywracające praworządność mogły wejść w życie.  @MicWawrykiewicz https://t.co/SqZ4ByJxpf",Thu Apr 17 18:30:36 +0000 2025,181,638
4,🇵🇱Polka🇵🇱,"Tusk pod wybory prezydenckie powie wszystko, co może spodobać się jego naiwnym wyborcom. A gdy wybory miną, odwoła wszystko. ""Ja nic takiego nie powiedziałem ""🙈 🙄👇 https://t.co/e5RWBgWjXU",Wed Apr 16 13:42:41 +0000 2025,192,479
5,Kuba Rutnicki,"Wybory prezydenckie to nie kabaret tylko poważna sprawa- jeśli sztabowcy pis i ich  pato  sztab w republice myślą ,że to dobry kierunek - bardzo się mylą…. https://t.co/I0wh5sEsbJ",Tue Apr 15 06:21:44 +0000 2025,178,959
6,Maja 🦋,"Takiego ,,Szeryfa,, jak tu nie cenić 👇✌️🇵🇱  Chamstwo Pisiorów ! to ich sztandar ❗  👇 Czas wyplenić chwasty ! Przegrane wybory Prezydenckie PiS ❗  niech będzie ich końcem 💪  Niech prowadzi Nas Nasz Premier ,a z Rafałem Trzaskowski !  tworzą świetny duet! 💪   #Trzaskowski2025 https://t.co/rACFesJ1oF",Thu Apr 17 23:05:52 +0000 2025,489,1853
7,rzemcio92,Kolumbia Senegal Japonia 🇵🇱Polska 🇵🇱 Awans pewny jesteśmy faworytem 🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🎂🎂🇵🇱🎂🇵🇱🇵🇱🇵🇱🍓🍓🍓🍓  #DebataRepubliki #DebataPrezydencka https://t.co/gR7EriHzEN,Mon Apr 14 19:58:09 +0000 2025,69,3123
8,Piotrdotcom 🇵🇱🇪🇸🇫🇷🇪🇺 #SilniRazem,"Nowy sondaż prezydencki. Znacząca różnica między Karolem Nawrockim i Sławomirem Mentzenem, Ankietowani zostali też zapytani o to, czy gdyby wybory prezydenckie odbywały się w najbliższą niedzielę, to czy oddaliby w nich swój głos. 25,3 proc. badanych powiedziało, że ""zdecydowanie https://t.co/sJfhz8e1Ld",Wed Apr 23 05:51:33 +0000 2025,1,10
9,OficjalneZero,"Kradzież przemówień, wyzywanie konkurentów od piżmaków (?), kurczowe trzymanie się absurdalnych haseł tylko po to, by uchodzić za konsekwentnego, czy pomysł dnia wolnego dla osób starających się o dziecko. 🤔  Nie, nie zmyślamy. To po prostu skrót wydarzeń z ostatnich dni wyścigu https://t.co/CJPQ8sU4on",Mon Mar 31 09:45:06 +0000 2025,528,4080
10,🇵🇱 MARCIN EDO,"Takiej euforii nie pamiętam chyba z żadnej konwencji wyborczej, a oglądałem chyba wszystkie od trzech dekad. Coś nieprawdopodobnego... 🇵🇱 Polacy przetarli w końcu zaropiałe oczy. Polska to Wielka Sprawa, dlatego Polacy już dzisiaj wybrali nowego Prezydenta Polski. Tylko https://t.co/IIb2yi69bI",Sun Apr 27 12:51:44 +0000 2025,302,930
11,Blanka Kiesz #Nawrocki2025,Jaki związek mają ze sobą wybory prezydenckie i wyjście na miasto? ⬇️  #BezpiecznaPolska #Nawrocki2025  #MłodziZaNawrockim  #KobietyZaNawrockim  #WybieramKarola https://t.co/thkzwGUfE4,Tue Apr 22 14:55:44 +0000 2025,129,487
12,AntyAnty,🇵🇱Karol Nawrocki rozpoczął swoją kadencję na stanowisku Prezesa IPN od wizyty upamiętniającej polskich żołnierzy którzy zdobyli Monte Cassino 18 maja 1944 roku.  Wybory prezydenckie są 18 maja 2025 roku  Nie ma przypadków - są tylko znaki 🇵🇱  #Nawrocki2025 https://t.co/KErWvM3P3B,Sun Apr 20 15:01:27 +0000 2025,124,282
13,🇵🇱 MARCIN EDO,"Wajcha została przełożona. Powtarza się dokładnie rok 2015, kiedy PIS zaczął prowadzić w sondażach, Andrzej Duda wygrał wybory prezydenckie z ""pewniakiem"" a tuż po nim PIS przejęło samodzielnie władzę. Teraz wszystkie ręce na pokład. Zwycięstwo @NawrockiKn jest dziś priorytetem. https://t.co/MvxfUnAAoq",Wed Jan 15 08:49:12 +0000 2025,819,2964
14,Łowca Androidów ©,"Dlaczego PiS musi wygrać wybory prezydenckie? Bo immunitet nie działa wstecz. Nie chodzi tu już o ideologię, naród czy inne hasła z wieców wyborczych. Sprawa jest prosta jak konstrukcja programu „Rodzina na Swoim” – PiS musi mieć swojego człowieka w Pałacu Prezydenckim, bo tylko https://t.co/sDcVfI7duv",Fri Apr 18 23:29:06 +0000 2025,118,351
15,Wojciech Siński,"Z czystym sumieniem od 15.01 można stwierdzić, że Polacy w wyborach prezydenckich będą mieć autentyczny wybór... Front gaśnicowy🧯  vs.  front chanukowy🕎. Jakby ten wybór nie definiować, podział osobowy zawsze jest ten sam. https://t.co/IRct4oP9h7",Sun Jan 19 09:45:05 +0000 2025,153,838
16,Bożena Ka,Równo za miesiąc 18 maja  odbędą się wybory prezydenckie‼️ #Trzaskowski2025 https://t.co/7Ou6UHptQo,Fri Apr 18 08:26:35 +0000 2025,69,182
17,🇵🇱 MARCIN EDO,"Niestety, najprawdopodobniej odbędzie się 2 tura wyborów prezydenckich. Nastąpi to planowo 1 czerwca 2025 roku. Wynik będzie druzgocący dla kandydata obecnej ekipy rządzącej, Rafała Trzaskowskiego. Jego główny kontrkandydat @NawrockiKn✌️ osiągnie min. 54,2% poparcia. Zakład? 👊🤓 https://t.co/klIgYQRgUF",Mon Mar 03 18:58:10 +0000 2025,454,1762
18,Edyta Kazikowska,"PMM: Stoimy dzisiaj przed wyborem, czy idziemy drogą 🇵🇱 suwerennej, umacniającej swoje granice, wzmacniającej dobrobyt wszystkich Polaków, czy pójdziemy inną drogą. To wybór, który zależy od tego, kogo Polacy wybiorą na prezydenta.@NawrockiKn musi zostać prezydentem 🇵🇱. 📍Gniezno https://t.co/6uHp90eMTF",Fri Apr 04 18:15:08 +0000 2025,89,255
19,Konfederacja,"Już ponad połowa Polaków uważa, że @SlawomirMentzen może wejść do II tury❗   Badanie SW Research dla ""Rzeczpospolitej"" wskazuje, że to już niemal 54%! I to jest nasz cel - wejście do drugiej tury, zwycięstwo z tęczowym Rafałem i rozpoczęcie wielkich zmian w Polsce!  Polska https://t.co/xIOxdrHXPW",Mon Mar 03 08:43:38 +0000 2025,141,2744
20,🇵🇱 MARCIN EDO,"Można robić screeny... Przed Państwem wyniki wyborów prezydenckich II tury z dnia 1 czerwca 2025 roku. Niekwestionowanym zwycięzcą zostanie @NawrockiKn✌️ Co wydarzy się później, to już inna kwestia. Czerwiec będzie wyjątkowo gorący. https://t.co/KnPkaWqhC4",Mon Mar 31 15:03:52 +0000 2025,98,313
21,Oskar Kida,"Prezydent @AndrzejDuda stanął dziś na straży uczciwości wyborów i zawetował tzw. ustawę incydentalną. Oznacza to, że o ważności wyborów prezydenckich i wyborów uzupełniających do senatu (tak jak każdych innych wyborów) orzekać będzie Izba Kontroli Nadzwyczajnej i Spraw",Mon Mar 10 14:45:38 +0000 2025,808,2227
22,Alicja,"Wybory prezydenckie to nie casting na popularność❗️ To wybór między dwiema wizjami Polski: jedną karmioną gniewem, drugą napędzaną nadzieją.❤️ Rafał jednoznacznie opowiada się za tą drugą – Polską, która inspiruje, łączy i daje szansę na lepszą przyszłość❗️🇵🇱 #NormalnaPolska https://t.co/q4AD1sccBw",Fri Apr 18 12:15:24 +0000 2025,55,117
23,Oskar Kida,"Szanowni Państwo,  poniżej znajdą Państwo mój komentarz dotyczący ostatnich pomysłów instytucji UE dotyczących wyborów prezydenckich w Polsce. Głęboko wierzę w to, że naród nie da sobie odebrać konstytucyjnego prawa do wyboru władz Rzeczypospolitej, z jej prezydentem na czele.",Fri Mar 07 10:55:39 +0000 2025,761,1579
24,Kamil Zaradkiewicz,"W poniedziałek mija termin decyzji Prezydenta @AndrzejDuda w sprawie tzw. ustawy incydentalnej, a raczej kolejnej antykonstytucyjnej ustawki zgodnie z wskazówkami upolitycznionych organów unijnych, według której o ważności wyborów prezydenckich w 2025 r. mieliby decydować",Sat Mar 08 12:56:25 +0000 2025,318,801
25,🇵🇱 MARCIN EDO,"Patrzę na te ich sondaże dające jaśnie hrabiemu Komorowskiemu najpierw 72%, na końcu już 46%, a Andrzejowi Dudzie 27% i jestem całkowicie spokojny o zwycięstwo @NawrockiKn . Najlepsze było jak przerażony widmem porażki analfabeta już po przegranej pierwszej turze chciał przejąć https://t.co/ezMrKSWm5k",Tue Apr 08 14:34:03 +0000 2025,90,268
26,Helutka II konto -sierpień 2024,"To naprawdę proste,aby Rafał Trzaskowski wygrał wybory prezydenckie.💙🇵🇱💙 Wystarczy zagłosować 📣📣📣📢‼️‼️ Trzaska matka i sąsiadka. Trzaska wujek ,ciotka ,swatka. Babcia,dziadek i prababka  Cała Polska Naprzód 🇵🇱🇵🇱📢📣  #Trzaskowski2025 #KobietyNaWybory #TrzaskamyPierwsząTurę https://t.co/HGeGkOh8dP",Tue Apr 15 17:44:54 +0000 2025,311,697
27,🇵🇱 MARCIN EDO,"Tym razem już nic uroczyście nie unieważnisz, obłudny wysłanniku! 18 maja odbędą się najważniejsze po 1989 roku wybory prezydenckie i referendum dotyczące paktu migracyjnego. NIE dla relokacji imigrantów do Polski. Niech zatrzymają ich sobie ci, którzy ich tu zapraszali. Kropka. https://t.co/Ti1LH85Fu8",Tue Feb 11 06:13:55 +0000 2025,105,233
28,Jacek Saryusz-Wolski,⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️  Wybory PREZYDENTA RP stają się swego rodzaju REFERENDUM na temat polityki UNII EUROPEJSKIEJ:  - PAKTU MIGRACYJNEGO  - ZIELONEGO ŁADU,Thu Feb 06 13:25:44 +0000 2025,342,1046
29,e-Janusz Ch. 🛷,"Ludzie, ja się gubię, gdzie jest prawdziwy @trzaskowski_ i gdzie jest prawdziwa Trzaskowska?  Czy @WiolaPaprocka myśli że wybory prezydenckie to konkurs na najlepszy cosplay zwykłego Polaka? Wciskają kit na bezczela!  @hakados1 @JanMolskiIII @szef_dywizji @AjKedzierski @szachmad https://t.co/bFtYkf0267",Tue Apr 22 20:19:19 +0000 2025,70,389
30,Agapo🍀,Kochani ! Pełna Mobilizacja! Niedługo Wybory! 18 mają cała Polska rusza w bój na Wybory i głosuje na Karola Nawrockiego! Musimy być silni i zjednoczeni! Muszą nas być miliony i duża frekwencja! Każdy głos jest na wagę złota! Idziemy po Zwycięstwo! Nawrocki naszym Prezydentem! https://t.co/xqJQsS35fK,Tue Apr 22 02:57:14 +0000 2025,8,13
31,Waldemar PRAWY POLAK,18.05.2025 WYBORY PREZYDENCKIE TO BEDZIE  GŁOSOWANIE ZA ODWOŁANIEM TUSKA🇩🇪🇩🇪I CAŁEJ ZŁODZIEJSKIEJ EKIPY ‼️‼️‼️‼️‼️‼️‼️‼️GLOSUJMY NA PANA KAROLA NAWROCKIEGO POLAKA ‼️‼️‼️‼️‼️‼️‼️ https://t.co/7ewc9JfRT6,Thu Apr 24 16:35:02 +0000 2025,11,18
32,michniqremek,Wybory prezydenckie 2025. https://t.co/DrDJhJ8LJG,Sun Apr 20 05:36:33 +0000 2025,116,1057
33,Tomasz,"Naiwnie się łudzę, że wybory prezydenckie wygra dobry człowiek.  Karmię się nadzieją, że może jednak, coś wydarzy się takiego, że wbrew propagandzie mainstreamu, w kontrze do tego zupełnie antypolskiego, lewackiego rządu będziemy mieć pro-polskiego prezydenta. Czy jestem głupcem? https://t.co/J95jin0xvc",Mon Apr 21 19:09:52 +0000 2025,27,219
34,Konfederacja,"21% dla @SlawomirMentzen w dzisiejszym sondażu prezydenckim❗ To wzrost aż o 4 p.p.↗️, tymczasem kandydat PiS, Karol Nawrocki, zalicza spadek o 2 p.p.↘️   To kolejne badanie, w którym nasz kandydat notuje wynik z ""dwójką"" z przodu!  Drodzy wyborcy, jeśli nie chcecie, żeby tęczowy https://t.co/LuE2suGfve",Fri Mar 07 22:03:11 +0000 2025,185,2979
35,Kobiety na Wybory | Kobiety z Trzaskiem,"💜 Zbliżające się wybory prezydenckie w Polsce to nie tylko decyzja o tym, kto będzie nas reprezentował, ale też o tym, jak będą wyglądały prawa kobiet, rola młodych w podejmowaniu decyzji oraz nasze bezpieczeństwo.  🙌 Wierzymy, że Rafał Trzaskowski to kandydat, który ma https://t.co/msgOErqrNb",Sat Apr 26 15:58:04 +0000 2025,111,280
36,Andrzej Skiba,"Czy @Dulkiewicz_A  złamała prawo w kampanii wyborczej❓  Czy współrządząca ekipa, która popiera @trzaskowski_ , próbuje metodami administracyjnymi utrudnić @NawrockiKn  udział w podstawowym demokratycznym procesie, którym są wybory prezydenckie❓   Zapraszam na🧵 w temacie: 1/x https://t.co/PA88PleulO",Thu Apr 17 11:37:23 +0000 2025,23,61
