Tweet_count,Usename,Name,Text,Retweets,Likes
1,🇵🇱Polka🇵🇱,"Tusk pod wybory prezydenckie powie wszystko, co może spodobać się jego naiwnym wyborcom. A gdy wybory miną, odwoła wszystko. ""Ja nic takiego nie powiedziałem ""🙈 🙄👇 https://t.co/e5RWBgWjXU",192,478
2,Informacje Giełdowe,Wybory Prezydenckie w Polsce 18 maj 2025 - Pakt Migracyjny  Meczety: Polska 🇵🇱 2025 rok:            3 Francja 🇫🇷 1975 rok:            3👈 Francja 🇫🇷 2025 rok:   2630👈 Niemcy 🇩🇪 2025 rok:  2620 Holandia 🇳🇱 2025 rok:  430 Belgia 🇧🇪 2025 rok :       330  Szwecja 🇸🇪 2025 rok :   400 https://t.co/IhFUO3ZsYt,271,815
3,rzemcio92,Kolumbia Senegal Japonia 🇵🇱Polska 🇵🇱 Awans pewny jesteśmy faworytem 🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🎂🎂🇵🇱🎂🇵🇱🇵🇱🇵🇱🍓🍓🍓🍓  #DebataRepubliki #DebataPrezydencka https://t.co/gR7EriHzEN,69,3123
4,🇵🇱Polka🇵🇱,"Wystarczyło wziąć długopis do ręki... teraz, i wy wyborcy Tuska będziecie płacić za swoją decyzję. #UśmiechniętePolska @donaldtusk ‼️ Możesz jeszcze to zmienić i zagłosować na Pana dr Karola Nawrockiego @NawrockiKn podczas wyborów prezydenckich w dniu 18 maja 2025 r. ‼️ https://t.co/ZBWMdYD7fk",630,1523
5,Maja 🦋,"Kochani 🥰  Niedziela, 18 maja 2025 wybory Prezydenta RP 2025 !  Takiego widoku 👇 Takiego Szczęścia 🥰  Będziemy Świadkami !  Zróbmy wszystko ! byśmy i My ! byli tak Szczęśliwi !   Cała Polska naprzód ✌️ 🇵🇱 Wiemy co mamy zrobić ! Oni na Nas czekają ! Głosuj ! 👇 #Trzaskowski2025 https://t.co/YIeAsLgbSL",307,938
6,AntyAnty,🇵🇱Karol Nawrocki rozpoczął swoją kadencję na stanowisku Prezesa IPN od wizyty upamiętniającej polskich żołnierzy którzy zdobyli Monte Cassino 18 maja 1944 roku.  Wybory prezydenckie są 18 maja 2025 roku  Nie ma przypadków - są tylko znaki 🇵🇱  #Nawrocki2025 https://t.co/KErWvM3P3B,124,282
7,Wojciech,Wybory prezydenckie 2025 Zjednoczenie Normalność Wybaczenie Autentyczność  Historia Polska powinna być normalna przede wszystkim Wtedy będzie wielka Pokora jest wielkością Pragnienie władzy jest wadą nie zaletą  Spójrzmy na historię naszego cudownego kraju Polska jest zagrożona https://t.co/W3m58Svl2C,1,0
8,🇵🇱 MARCIN EDO,"Jestem wręcz pewien, że rok 2025 będzie powtórką roku 2015. @NawrockiKn na 100% zostanie Prezydentem 🇵🇱 Polski, a na jesieni PIS w przedterminowych wyborach przejmie władzę z rąk obecnej mafii. Jestem też pewien, że #Nawrocki2025 nigdy nie zawiedzie Polaków, co kilkukrotnie https://t.co/NPBzgZnFEF",456,1577
9,zuzanna kostrubiec#Nawrocki2025#PociągPrawych,"Wszyscy Bądźmy dumni z tego, że głosujemy na Karola Nawrockiego 18 Maja 2025‼️Klasa sama w sobie. Normalny.Spokój,autentyczność,merytoryka,wiedza, Najlepszy przywódca na trudne czasy #Nawrocki2025Prezydentem https://t.co/bdyjudNI6X",64,167
10,michniqremek,Wybory prezydenckie 2025. https://t.co/DrDJhJ8LJG,116,1057
